geography,geography_label.value,industry,industry_label.value,ownercode_label.value,race_label.value,ethnicity_label.value,firmsize_label.value,year,quarter,Employment
24510,"Baltimore, MD",5121,Motion Picture and Video Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,448
24510,"Baltimore, MD",5122,Sound Recording Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,46
24510,"Baltimore, MD",5413,"Architectural, Engineering, and Related Services",All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,4226
24510,"Baltimore, MD",5414,Specialized Design Services,All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,338
24510,"Baltimore, MD",7111,Performing Arts Companies,All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,275
24510,"Baltimore, MD",7115,"Independent Artists, Writers, and Performers",All Private,All Races,All Ethnicities,All Firm Sizes,2019,4,56
,,,,,,,,,,
,,,,,,,,,total 2019,5389
,,,,,,,,,,
24510,"Baltimore, MD",5121,Motion Picture and Video Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,323
24510,"Baltimore, MD",5122,Sound Recording Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,46
24510,"Baltimore, MD",5413,"Architectural, Engineering, and Related Services",All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,3940
24510,"Baltimore, MD",5414,Specialized Design Services,All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,306
24510,"Baltimore, MD",7111,Performing Arts Companies,All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,228
24510,"Baltimore, MD",7115,"Independent Artists, Writers, and Performers",All Private,All Races,All Ethnicities,All Firm Sizes,2020,4,34
,,,,,,,,,,
,,,,,,,,,total 2020,4877
,,,,,,,,,,
24510,"Baltimore, MD",5121,Motion Picture and Video Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,425
24510,"Baltimore, MD",5122,Sound Recording Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,34
24510,"Baltimore, MD",5413,"Architectural, Engineering, and Related Services",All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,4080
24510,"Baltimore, MD",5414,Specialized Design Services,All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,321
24510,"Baltimore, MD",7111,Performing Arts Companies,All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,418
24510,"Baltimore, MD",7115,"Independent Artists, Writers, and Performers",All Private,All Races,All Ethnicities,All Firm Sizes,2021,4,34
,,,,,,,,,,
,,,,,,,,,total 2021,5312
,,,,,,,,,,
24510,"Baltimore, MD",5121,Motion Picture and Video Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,444
24510,"Baltimore, MD",5122,Sound Recording Industries,All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,34
24510,"Baltimore, MD",5413,"Architectural, Engineering, and Related Services",All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,3953
24510,"Baltimore, MD",5414,Specialized Design Services,All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,315
24510,"Baltimore, MD",7111,Performing Arts Companies,All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,563
24510,"Baltimore, MD",7115,"Independent Artists, Writers, and Performers",All Private,All Races,All Ethnicities,All Firm Sizes,2022,1,90
,,,,,,,,,,
,,,,,,,,,total 2022,5399
