"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"GEO_ID_F","Geo Footnote"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS code"
"NAICS2017_F","2017 NAICS Footnote"
"OWNER_SEX","Sex code"
"OWNER_SEX_LABEL","Meaning of Sex code"
"OWNER_ETH","Ethnicity code"
"OWNER_ETH_LABEL","Meaning of Ethnicity code"
"OWNER_RACE","Race code"
"OWNER_RACE_LABEL","Meaning of Race code"
"OWNER_VET","Veteran code"
"OWNER_VET_LABEL","Meaning of Veteran code"
"QDESC","Question description code"
"QDESC_LABEL","Meaning of Question description code"
"OWNCHAR","Owner characteristic code"
"OWNCHAR_LABEL","Meaning of Owner characteristic code"
"YEAR","Year"
"OWNPDEMP","Number of owners of respondent employer firms"
"OWNPDEMP_F","Flag for Number of owners of respondent employer firms"
"OWNPDEMP_PCT","Percent of number of owners of respondent employer firms (%)"
"OWNPDEMP_PCT_F","Flag for Percent of number of owners of respondent employer firms (%)"
"OWNPDEMP_S","Relative standard error of number of owners of respondent employer firms (%)"
"OWNPDEMP_S_F","Flag for Relative standard error of number of owners of respondent employer firms (%)"
"OWNPDEMP_PCT_S","Standard error of percent of number of owners of respondent employer firms (%)"
"OWNPDEMP_PCT_S_F","Flag for Standard error of percent of number of owners of respondent employer firms (%)"
