Geographic Area Name,Meaning of NAICS code,Meaning of Sex code,Meaning of Ethnicity code,Meaning of Race code,Meaning of Veteran code,Year,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)",Relative standard error of employer firms (%)
Maryland,Total for all sectors,Total,Total,Total,Total,2019,103642,W,2300306,131843216,0.5
Maryland,Total for all sectors,Female,Total,Total,Total,2019,23583,W,238608,10487855,5.3
Maryland,Total for all sectors,Male,Total,Total,Total,2019,62230,W,817905,45075343,1.6
Maryland,Total for all sectors,Equally male/female,Total,Total,Total,2019,11954,W,123029,4628709,9.2
Maryland,Total for all sectors,Total,Hispanic,Total,Total,2019,3393,U,31887,1174605,7.2
Maryland,Total for all sectors,Female,Hispanic,Total,Total,2019,1122,U,14439,453952,23.9
Maryland,Total for all sectors,Male,Hispanic,Total,Total,2019,2049,U,15877,675790,13.2
Maryland,Total for all sectors,Equally male/female,Hispanic,Total,Total,2019,S,S,"1,000 to 2,499 employees",S,S
Maryland,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,2019,819,T,9395,353198,20.3
Maryland,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,2019,S,S,"5,000 to 9,999 employees",S,S
Maryland,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,2019,355,R,2419,102577,28.2
Maryland,Total for all sectors,Total,Non-Hispanic,Total,Total,2019,93556,W,1138260,58664104,0.8
Maryland,Total for all sectors,Female,Non-Hispanic,Total,Total,2019,22459,W,224169,10033903,5.6
Maryland,Total for all sectors,Male,Non-Hispanic,Total,Total,2019,59720,W,795052,44148932,1.9
Maryland,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,2019,11375,W,119039,4481270,9.3
Maryland,Total for all sectors,Total,Total,White,Total,2019,76098,W,977783,51826024,0.8
Maryland,Total for all sectors,Female,Total,White,Total,2019,16787,W,188362,8160010,6.3
Maryland,Total for all sectors,Male,Total,White,Total,2019,50473,W,703847,40008236,2.2
