GEOID,NAMELSAD
24510272007,Census Tract 2720.07
24510280500,Census Tract 2805
24510260202,Census Tract 2602.02
24510260203,Census Tract 2602.03
24510260301,Census Tract 2603.01
24510260302,Census Tract 2603.02
24510260303,Census Tract 2603.03
24510260401,Census Tract 2604.01
24510090200,Census Tract 902
24510090300,Census Tract 903
24510090400,Census Tract 904
24510090500,Census Tract 905
24510090600,Census Tract 906
24510090700,Census Tract 907
24510260403,Census Tract 2604.03
24510260402,Census Tract 2604.02
24510260404,Census Tract 2604.04
24510260501,Census Tract 2605.01
24510090800,Census Tract 908
24510100200,Census Tract 1002
24510120300,Census Tract 1203
24510120500,Census Tract 1205
24510280600,Census Tract 2806
24510260605,Census Tract 2606.05
24510270101,Census Tract 2701.01
24510270102,Census Tract 2701.02
24510270200,Census Tract 2702
24510270301,Census Tract 2703.01
24510270302,Census Tract 2703.02
24510210100,Census Tract 2101
24510210200,Census Tract 2102
24510271600,Census Tract 2716
24510271700,Census Tract 2717
24510270600,Census Tract 2706
24510270401,Census Tract 2704.01
24510151200,Census Tract 1512
24510151300,Census Tract 1513
24510160400,Census Tract 1604
24510160700,Census Tract 1607
24510160801,Census Tract 1608.01
24510160802,Census Tract 1608.02
24510270702,Census Tract 2707.02
24510270801,Census Tract 2708.01
24510270703,Census Tract 2707.03
24510270802,Census Tract 2708.02
24510130100,Census Tract 1301
24510170200,Census Tract 1702
24510170300,Census Tract 1703
24510200200,Census Tract 2002
24510200300,Census Tract 2003
24510200400,Census Tract 2004
24510270803,Census Tract 2708.03
24510270805,Census Tract 2708.05
24510270901,Census Tract 2709.01
24510270902,Census Tract 2709.02
24510270804,Census Tract 2708.04
24510180300,Census Tract 1803
24510190100,Census Tract 1901
24510200500,Census Tract 2005
24510200600,Census Tract 2006
24510200701,Census Tract 2007.01
24510200800,Census Tract 2008
24510270903,Census Tract 2709.03
24510271001,Census Tract 2710.01
24510271002,Census Tract 2710.02
24510270402,Census Tract 2704.02
24510270502,Census Tract 2705.02
24510190200,Census Tract 1902
24510190300,Census Tract 1903
24510200100,Census Tract 2001
24510250101,Census Tract 2501.01
24510250102,Census Tract 2501.02
24510250103,Census Tract 2501.03
24510250203,Census Tract 2502.03
24510250204,Census Tract 2502.04
24510060300,Census Tract 603
24510080800,Census Tract 808
24510270501,Census Tract 2705.01
24510160200,Census Tract 1602
24510100100,Census Tract 1001
24510130300,Census Tract 1303
24510060100,Census Tract 601
24510280301,Census Tract 2803.01
24510160100,Census Tract 1601
24510130200,Census Tract 1302
24510130400,Census Tract 1304
24510250205,Census Tract 2502.05
24510150100,Census Tract 1501
24510090900,Census Tract 909
24510120400,Census Tract 1204
24510270701,Census Tract 2707.01
24510080301,Census Tract 803.01
24510271801,Census Tract 2718.01
24510150900,Census Tract 1509
24510080700,Census Tract 807
24510261000,Census Tract 2610
24510160300,Census Tract 1603
24510260604,Census Tract 2606.04
24510280402,Census Tract 2804.02
24510160500,Census Tract 1605
24510130806,Census Tract 1308.06
24510140200,Census Tract 1402
24510140300,Census Tract 1403
24510150200,Census Tract 1502
24510150300,Census Tract 1503
24510150400,Census Tract 1504
24510150600,Census Tract 1506
24510150701,Census Tract 1507.01
24510150702,Census Tract 1507.02
24510271802,Census Tract 2718.02
24510060200,Census Tract 602
24510200702,Census Tract 2007.02
24510160600,Census Tract 1606
24510151000,Census Tract 1510
24510151100,Census Tract 1511
24510150800,Census Tract 1508
24510250206,Census Tract 2502.06
24510250207,Census Tract 2502.07
24510250301,Census Tract 2503.01
24510250303,Census Tract 2503.03
24510250401,Census Tract 2504.01
24510250402,Census Tract 2504.02
24510280101,Census Tract 2801.01
24510280102,Census Tract 2801.02
24510280200,Census Tract 2802
24510280302,Census Tract 2803.02
24510060400,Census Tract 604
24510070100,Census Tract 701
24510070200,Census Tract 702
24510070300,Census Tract 703
24510070400,Census Tract 704
24510260101,Census Tract 2601.01
24510260102,Census Tract 2601.02
24510260201,Census Tract 2602.01
24510280401,Census Tract 2804.01
24510280403,Census Tract 2804.03
24510280404,Census Tract 2804.04
24510080101,Census Tract 801.01
24510080102,Census Tract 801.02
24510080200,Census Tract 802
24510080302,Census Tract 803.02
24510080400,Census Tract 804
24510080500,Census Tract 805
24510080600,Census Tract 806
24510090100,Census Tract 901
24510250500,Census Tract 2505
24510250600,Census Tract 2506
