STATEFP,COUNTYFP,TRACTCE,GEOID *,NAME,NAMELSAD
24,510,120202,24510120202,1202.02,Census Tract 1202.02
24,510,272005,24510272005,2720.05,Census Tract 2720.05
24,510,120201,24510120201,1202.01,Census Tract 1202.01
24,510,272004,24510272004,2720.04,Census Tract 2720.04
24,510,272006,24510272006,2720.06,Census Tract 2720.06
24,510,100300,24510100300,1003,Census Tract 1003
24,510,110100,24510110100,1101,Census Tract 1101
24,510,110200,24510110200,1102,Census Tract 1102
24,510,120100,24510120100,1201,Census Tract 1201
24,510,120600,24510120600,1206,Census Tract 1206
24,510,261100,24510261100,2611,Census Tract 2611
24,510,220100,24510220100,2201,Census Tract 2201
24,510,230300,24510230300,2303,Census Tract 2303
24,510,240100,24510240100,2401,Census Tract 2401
24,510,240200,24510240200,2402,Census Tract 2402
24,510,230100,24510230100,2301,Census Tract 2301
24,510,140100,24510140100,1401,Census Tract 1401
24,510,271400,24510271400,2714,Census Tract 2714
24,510,271501,24510271501,2715.01,Census Tract 2715.01
24,510,120700,24510120700,1207,Census Tract 1207
24,510,170100,24510170100,1701,Census Tract 1701
24,510,271503,24510271503,2715.03,Census Tract 2715.03
24,510,271101,24510271101,2711.01,Census Tract 2711.01
24,510,271102,24510271102,2711.02,Census Tract 2711.02
24,510,271200,24510271200,2712,Census Tract 2712
24,510,271300,24510271300,2713,Census Tract 2713
24,510,240300,24510240300,2403,Census Tract 2403
24,510,240400,24510240400,2404,Census Tract 2404
24,510,260800,24510260800,2608,Census Tract 2608
24,510,260900,24510260900,2609,Census Tract 2609
24,510,230200,24510230200,2302,Census Tract 2302
24,510,130600,24510130600,1306,Census Tract 1306
24,510,130700,24510130700,1307,Census Tract 1307
24,510,130803,24510130803,1308.03,Census Tract 1308.03
24,510,130804,24510130804,1308.04,Census Tract 1308.04
24,510,130805,24510130805,1308.05,Census Tract 1308.05
24,510,10200,24510010200,102,Census Tract 102
24,510,260700,24510260700,2607,Census Tract 2607
24,510,10100,24510010100,101,Census Tract 101
24,510,10300,24510010300,103,Census Tract 103
24,510,10400,24510010400,104,Census Tract 104
24,510,10500,24510010500,105,Census Tract 105
24,510,20100,24510020100,201,Census Tract 201
24,510,20200,24510020200,202,Census Tract 202
24,510,20300,24510020300,203,Census Tract 203
24,510,30100,24510030100,301,Census Tract 301
24,510,150500,24510150500,1505,Census Tract 1505
24,510,271900,24510271900,2719,Census Tract 2719
24,510,272003,24510272003,2720.03,Census Tract 2720.03
24,510,30200,24510030200,302,Census Tract 302
24,510,40100,24510040100,401,Census Tract 401
24,510,40200,24510040200,402,Census Tract 402
