geography,geography_label.value,industry,industry_label.value,ownercode,race_label.value,ethnicity,ethnicity_label.value,year,EmpS
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A0,All Ethnicities,2017,3912
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A2,Hispanic or Latino,2017,62
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A0,All Ethnicities,2017,2196
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A2,Hispanic or Latino,2017,42
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A0,All Ethnicities,2017,1650
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A2,Hispanic or Latino,2017,11
24,Maryland,4931,Warehousing and Storage,A05,All Races,A0,All Ethnicities,2017,15369
24,Maryland,4931,Warehousing and Storage,A05,All Races,A2,Hispanic or Latino,2017,978
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A0,All Ethnicities,2017,7830
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A2,Hispanic or Latino,2017,721
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A0,All Ethnicities,2017,6190
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A2,Hispanic or Latino,2017,130
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A0,All Ethnicities,2017,2597
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A2,Hispanic or Latino,2017,125
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A0,All Ethnicities,2017,1845
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A2,Hispanic or Latino,2017,101
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A0,All Ethnicities,2017,508
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A2,Hispanic or Latino,2017,12
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A0,All Ethnicities,2017,3276
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A2,Hispanic or Latino,2017,137
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A0,All Ethnicities,2017,2015
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A2,Hispanic or Latino,2017,100
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A0,All Ethnicities,2017,698
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A2,Hispanic or Latino,2017,13
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A0,All Ethnicities,2017,65373
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A2,Hispanic or Latino,2017,2842
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A0,All Ethnicities,2017,40630
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A2,Hispanic or Latino,2017,2157
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A0,All Ethnicities,2017,11669
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A2,Hispanic or Latino,2017,285
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A0,All Ethnicities,2017,38601
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A2,Hispanic or Latino,2017,2107
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A0,All Ethnicities,2017,26063
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A2,Hispanic or Latino,2017,1669
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A0,All Ethnicities,2017,7596
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A2,Hispanic or Latino,2017,225
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A0,All Ethnicities,2017,30711
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A2,Hispanic or Latino,2017,1554
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A0,All Ethnicities,2017,21423
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A2,Hispanic or Latino,2017,1262
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A0,All Ethnicities,2017,4321
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A2,Hispanic or Latino,2017,123
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A0,All Ethnicities,2017,11355
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A2,Hispanic or Latino,2017,663
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A0,All Ethnicities,2017,9042
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A2,Hispanic or Latino,2017,518
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A0,All Ethnicities,2017,1484
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A2,Hispanic or Latino,2017,76
24,Maryland,7111,Performing Arts Companies,A05,All Races,A0,All Ethnicities,2017,1893
24,Maryland,7111,Performing Arts Companies,A05,All Races,A2,Hispanic or Latino,2017,127
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A0,All Ethnicities,2017,1482
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A2,Hispanic or Latino,2017,107
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A0,All Ethnicities,2017,276
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A2,Hispanic or Latino,2017,6
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A0,All Ethnicities,2017,565
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A2,Hispanic or Latino,2017,22
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A0,All Ethnicities,2017,422
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A2,Hispanic or Latino,2017,16
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A0,All Ethnicities,2017,108
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A2,Hispanic or Latino,2017,
24,Maryland,0,All NAICS Sectors,A05,All Races,A0,All Ethnicities,2017,1913632
24,Maryland,0,All NAICS Sectors,A05,All Races,A2,Hispanic or Latino,2017,156001
24,Maryland,0,All NAICS Sectors,A05,White Alone,A0,All Ethnicities,2017,1223297
24,Maryland,0,All NAICS Sectors,A05,White Alone,A2,Hispanic or Latino,2017,124186
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A0,All Ethnicities,2017,505685
24,Maryland,0,All NAICS Sectors,A05,Black or African American Alone,A2,Hispanic or Latino,2017,14790
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A0,All Ethnicities,2018,4104
24,Maryland,4883,Support Activities for Water Transportation,A05,All Races,A2,Hispanic or Latino,2018,68
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A0,All Ethnicities,2018,2325
24,Maryland,4883,Support Activities for Water Transportation,A05,White Alone,A2,Hispanic or Latino,2018,46
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A0,All Ethnicities,2018,1700
24,Maryland,4883,Support Activities for Water Transportation,A05,Black or African American Alone,A2,Hispanic or Latino,2018,12
24,Maryland,4931,Warehousing and Storage,A05,All Races,A0,All Ethnicities,2018,18192
24,Maryland,4931,Warehousing and Storage,A05,All Races,A2,Hispanic or Latino,2018,1295
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A0,All Ethnicities,2018,8764
24,Maryland,4931,Warehousing and Storage,A05,White Alone,A2,Hispanic or Latino,2018,950
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A0,All Ethnicities,2018,7785
24,Maryland,4931,Warehousing and Storage,A05,Black or African American Alone,A2,Hispanic or Latino,2018,179
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A0,All Ethnicities,2018,2220
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,All Races,A2,Hispanic or Latino,2018,109
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A0,All Ethnicities,2018,1589
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,White Alone,A2,Hispanic or Latino,2018,90
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A0,All Ethnicities,2018,454
24,Maryland,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",A05,Black or African American Alone,A2,Hispanic or Latino,2018,10
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A0,All Ethnicities,2018,3072
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,All Races,A2,Hispanic or Latino,2018,134
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A0,All Ethnicities,2018,1910
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,White Alone,A2,Hispanic or Latino,2018,99
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A0,All Ethnicities,2018,595
24,Maryland,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A05,Black or African American Alone,A2,Hispanic or Latino,2018,13
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A0,All Ethnicities,2018,67217
24,Maryland,5415,Computer Systems Design and Related Services,A05,All Races,A2,Hispanic or Latino,2018,3107
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A0,All Ethnicities,2018,41741
24,Maryland,5415,Computer Systems Design and Related Services,A05,White Alone,A2,Hispanic or Latino,2018,2361
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A0,All Ethnicities,2018,12207
24,Maryland,5415,Computer Systems Design and Related Services,A05,Black or African American Alone,A2,Hispanic or Latino,2018,306
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A0,All Ethnicities,2018,39173
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,All Races,A2,Hispanic or Latino,2018,2257
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A0,All Ethnicities,2018,26493
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,White Alone,A2,Hispanic or Latino,2018,1793
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A0,All Ethnicities,2018,7768
24,Maryland,5416,"Management, Scientific, and Technical Consulting Services",A05,Black or African American Alone,A2,Hispanic or Latino,2018,225
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A0,All Ethnicities,2018,31961
24,Maryland,5417,Scientific Research and Development Services,A05,All Races,A2,Hispanic or Latino,2018,1694
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A0,All Ethnicities,2018,22178
24,Maryland,5417,Scientific Research and Development Services,A05,White Alone,A2,Hispanic or Latino,2018,1381
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A0,All Ethnicities,2018,4472
24,Maryland,5417,Scientific Research and Development Services,A05,Black or African American Alone,A2,Hispanic or Latino,2018,128
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A0,All Ethnicities,2018,11655
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,All Races,A2,Hispanic or Latino,2018,677
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A0,All Ethnicities,2018,9382
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,White Alone,A2,Hispanic or Latino,2018,531
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A0,All Ethnicities,2018,1412
24,Maryland,5419,"Other Professional, Scientific, and Technical Services",A05,Black or African American Alone,A2,Hispanic or Latino,2018,76
24,Maryland,7111,Performing Arts Companies,A05,All Races,A0,All Ethnicities,2018,1826
24,Maryland,7111,Performing Arts Companies,A05,All Races,A2,Hispanic or Latino,2018,123
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A0,All Ethnicities,2018,1401
24,Maryland,7111,Performing Arts Companies,A05,White Alone,A2,Hispanic or Latino,2018,101
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A0,All Ethnicities,2018,276
24,Maryland,7111,Performing Arts Companies,A05,Black or African American Alone,A2,Hispanic or Latino,2018,9
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A0,All Ethnicities,2018,529
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,All Races,A2,Hispanic or Latino,2018,23
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A0,All Ethnicities,2018,402
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,White Alone,A2,Hispanic or Latino,2018,17
24,Maryland,7115,"Independent Artists, Writers, and Performers",A05,Black or African American Alone,A0,All Ethnicities,2018,87
