Geographical area,Applications,Year
Anne Arundel County,5537,2017
Baltimore County,9703,2017
Carroll County,1182,2017
Harford County,2020,2017
Howard County,3776,2017
Queen Anne's County,484,2017
Baltimore City,8402,2017
Anne Arundel County,5537,2017
Baltimore County,9703,2017
Carroll County,1182,2017
Harford County,2020,2017
Howard County,3776,2017
Queen Anne's County,484,2017
Baltimore City,8402,2017
Anne Arundel County,5894,2018
Baltimore County,10946,2018
Carroll County,1243,2018
Harford County,2023,2018
Howard County,4165,2018
Queen Anne's County,462,2018
Baltimore City,9254,2018
Anne Arundel County,5935,2019
Baltimore County,10724,2019
Carroll County,1179,2019
Harford County,2023,2019
Howard County,4251,2019
Queen Anne's County,447,2019
Baltimore City,8825,2019
Anne Arundel County,7481,2020
Baltimore County,13850,2020
Carroll County,1300,2020
Harford County,2699,2020
Howard County,4941,2020
Queen Anne's County,479,2020
Baltimore City,12499,2020
Anne Arundel County,9145,2021
Baltimore County,16751,2021
Carroll County,1571,2021
Harford County,3185,2021
Howard County,6063,2021
Queen Anne's County,601,2021
Baltimore City,14625,2021
