Geographical area,Industry,Race/ ethinicity,Ethnicity,Year,Employees
Maryland,Support Activities for Water Transportation,All Races,All Ethnicities,2017,3912
Maryland,Support Activities for Water Transportation,All Races,Hispanic or Latino,2017,62
Maryland,Support Activities for Water Transportation,White Alone,All Ethnicities,2017,2196
Maryland,Support Activities for Water Transportation,White Alone,Hispanic or Latino,2017,42
Maryland,Support Activities for Water Transportation,Black or African American Alone,All Ethnicities,2017,1650
Maryland,Support Activities for Water Transportation,Black or African American Alone,Hispanic or Latino,2017,11
Maryland,Warehousing and Storage,All Races,All Ethnicities,2017,15369
Maryland,Warehousing and Storage,All Races,Hispanic or Latino,2017,978
Maryland,Warehousing and Storage,White Alone,All Ethnicities,2017,7830
Maryland,Warehousing and Storage,White Alone,Hispanic or Latino,2017,721
Maryland,Warehousing and Storage,Black or African American Alone,All Ethnicities,2017,6190
Maryland,Warehousing and Storage,Black or African American Alone,Hispanic or Latino,2017,130
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,All Ethnicities,2017,2597
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",All Races,Hispanic or Latino,2017,125
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,All Ethnicities,2017,1845
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",White Alone,Hispanic or Latino,2017,101
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,All Ethnicities,2017,508
Maryland,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Black or African American Alone,Hispanic or Latino,2017,12
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,All Ethnicities,2017,3276
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",All Races,Hispanic or Latino,2017,137
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,All Ethnicities,2017,2015
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",White Alone,Hispanic or Latino,2017,100
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,All Ethnicities,2017,698
Maryland,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Black or African American Alone,Hispanic or Latino,2017,13
Maryland,Computer Systems Design and Related Services,All Races,All Ethnicities,2017,65373
Maryland,Computer Systems Design and Related Services,All Races,Hispanic or Latino,2017,2842
Maryland,Computer Systems Design and Related Services,White Alone,All Ethnicities,2017,40630
Maryland,Computer Systems Design and Related Services,White Alone,Hispanic or Latino,2017,2157
Maryland,Computer Systems Design and Related Services,Black or African American Alone,All Ethnicities,2017,11669
Maryland,Computer Systems Design and Related Services,Black or African American Alone,Hispanic or Latino,2017,285
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,All Ethnicities,2017,38601
Maryland,"Management, Scientific, and Technical Consulting Services",All Races,Hispanic or Latino,2017,2107
Maryland,"Management, Scientific, and Technical Consulting Services",White Alone,All Ethnicities,2017,26063
