periodicity,periodicity_label.value,geography,geography_label.value,ind_level,industry,industry_label.value,ownercode_label.value,sex_label.value,race,race_label.value,ethnicity,ethnicity_label.value,education,education_label.value,firmage,firmage_label.value,firmsize,firmsize_label.value,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,144552,142452,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,17569,17466,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,9893,10031,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2017,4,1188,1183,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,149554,148140,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,17870,17902,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,10581,10636,1,1
Q,Quarterly data,24,Maryland,S,54,"Professional, Scientific, and Technical Services",All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2018,4,1224,1229,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A1,White Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,156602,154895,1,1
Q,Quarterly data,24,Maryland,A,0,All NAICS Sectors,All Private,All Sexes,A2,Black or African American Alone,A2,Hispanic or Latino,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2019,4,18678,18680,1,1
